			1		7.00																								path 3  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
11	4	3	453		0.31	2	0.1545	453		45	53	3	0	0	0	0	0		0.01	0.30	0.00	0.00	0.00	0.00	0.00	0.00			shortsest path	45.00	53.00	3.00	0.00	0.00	0.00	0.00	0.00			Round 11	d	1.00	1.00	2.20	1.39	2.20	1.00	1.00	1.00	1.00	1.00
			45893		1.79	4	1.7930	453		45	58	89	93	3	0	0	0		0.01	0.20	0.77	0.81	0.00	0.00	0.00	0.00			path 1 lengths	1.39	2.20	0.00	0.00	0.00	0.00	0.00	0.00				Energies	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
			4213		1.13	3	0.8491	453		42	21	13	3	0	0	0	0		0.57	0.23	0.33	0.00	0.00	0.00	0.00	0.00			path 2  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
			3		1.00																								path 3  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
	1	3	13		0.33	1	0.0558	13		13	3	0	0	0	0	0	0		0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00			shortsest path	13.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00				d	3.20	1.00	3.20	1.00	1.00	1.00	1.00	1.00	1.00	1.00
			12453		1.11	4	0.7375	13		12	24	45	53	3	0	0	0		0.23	0.57	0.01	0.30	0.00	0.00	0.00	0.00			path 1 lengths	3.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00				Energies	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
			1245893		2.59	6	2.5903	13		12	24	45	58	89	93	3	0		0.23	0.57	0.01	0.20	0.77	0.81	0.00	0.00			path 2  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
			1		6.00																								path 3  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
12	9	6	9856		1.43	3	0.7154	9356		98	85	56	6	0	0	0	0		0.78	0.29	0.36	0.00	0.00	0.00	0.00	0.00			shortsest path	93.00	35.00	56.00	6.00	0.00	0.00	0.00	0.00			Round 12	d	1.00	1.00	2.20	1.00	1.04	1.04	1.00	1.00	4.14	1.00
			9356		1.28	3	0.6415	9356		93	35	56	6	0	0	0	0		0.22	0.70	0.36	0.00	0.00	0.00	0.00	0.00			path 1 lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00				Energies	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
			9312456		1.91	6	1.9088	9356		93	31	12	24	45	56	6	0		0.22	0.18	0.68	0.29	0.17	0.36	0.00	0.00			path 2  lengths	4.14	2.20	1.04	0.00	0.00	0.00	0.00	0.00														
			9		6.00																								path 3  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
	8	6	856		0.65	2	0.1861	856		85	56	6	0	0	0	0	0		0.29	0.36	0.00	0.00	0.00	0.00	0.00	0.00			shortsest path	85.00	56.00	6.00	0.00	0.00	0.00	0.00	0.00				d	1.00	1.00	1.00	1.00	1.04	1.04	1.00	0.50	1.00	1.00
			89356		2.06	4	1.1785	856		89	93	35	56	6	0	0	0		0.78	0.22	0.70	0.36	0.00	0.00	0.00	0.00			path 1 lengths	0.50	1.04	0.00	0.00	0.00	0.00	0.00	0.00				Energies	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
			89312456		2.69	7	2.6882	856		89	93	31	12	24	45	56	6		0.78	0.22	0.18	0.68	0.29	0.17	0.36	0.00			path 2  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
			8		4.00																								path 3  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
13	2	9	2139		0.89	3	0.5358	2139		21	13	39	9	0	0	0	0		0.65	0.23	0.01	0.00	0.00	0.00	0.00	0.00			shortsest path	21.00	13.00	39.00	9.00	0.00	0.00	0.00	0.00			Round 13	d	3.20	4.07	4.14	1.00	1.00	1.00	1.00	1.00	4.14	1.00
			24589		2.13	4	1.7005	2139		24	45	58	89	9	0	0	0		0.23	0.58	0.41	0.91	0.00	0.00	0.00	0.00			path 1 lengths	4.07	3.20	4.14	0.00	0.00	0.00	0.00	0.00				Energies	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
			213589		2.61	5	2.6111	2139		21	13	35	58	89	9	0	0		0.65	0.23	0.41	0.41	0.91	0.00	0.00	0.00			path 2  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
			9		8.00																								path 3  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
	7	9	7589		1.74	3	0.8688	7539		75	58	89	9	0	0	0	0		0.42	0.41	0.91	0.00	0.00	0.00	0.00	0.00			shortsest path	75.00	53.00	39.00	9.00	0.00	0.00	0.00	0.00				d	1.00	1.00	4.14	1.00	2.20	1.00	1.06	1.00	4.14	1.00
			7539		0.84	3	0.4195	7539		75	53	39	9	0	0	0	0		0.42	0.41	0.01	0.00	0.00	0.00	0.00	0.00			path 1 lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00				Energies	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
			7542139		2.12	6	2.1230	7539		75	54	42	21	13	39	9	0		0.42	0.58	0.23	0.65	0.23	0.01	0.00	0.00			path 2  lengths	1.06	2.20	4.14	0.00	0.00	0.00	0.00	0.00														
			7		7.00																								path 3  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
14	1	7	1357		2.18	3	1.3108	1357		13	35	57	7	0	0	0	0		0.98	0.51	0.69	0.00	0.00	0.00	0.00	0.00			shortsest path	13.00	35.00	57.00	7.00	0.00	0.00	0.00	0.00			Round 14	d	3.20	1.00	2.20	1.00	1.06	1.00	1.06	1.00	1.00	1.00
			12457		2.22	4	1.7764	1357		12	24	45	57	7	0	0	0		0.13	0.69	0.71	0.69	0.00	0.00	0.00	0.00			path 1 lengths	3.20	2.20	1.06	0.00	0.00	0.00	0.00	0.00				Energies	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
			139857		2.42	5	2.4217	1357		13	39	98	85	57	7	0	0		0.98	0.15	0.04	0.56	0.69	0.00	0.00	0.00			path 2  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
			7		7.00																								path 3  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
	2	7	2457		2.09	3	1.0446	2457		24	45	57	7	0	0	0	0		0.69	0.71	0.69	0.00	0.00	0.00	0.00	0.00			shortsest path	24.00	45.00	57.00	7.00	0.00	0.00	0.00	0.00				d	1.00	1.54	1.00	1.39	1.06	1.00	1.06	1.00	1.00	1.00
			21357		2.32	4	1.5440	2457		21	13	35	57	7	0	0	0		0.13	0.98	0.51	0.69	0.00	0.00	0.00	0.00			path 1 lengths	1.54	1.39	1.06	0.00	0.00	0.00	0.00	0.00				Energies	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
			2139857		2.55	6	2.5529	2457		21	13	39	98	85	57	7	0		0.13	0.98	0.15	0.04	0.56	0.69	0.00	0.00			path 2  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
			7		2.00																								path 3  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
15	9	4	9354		1.15	3	0.8624	9354		93	35	54	4	0	0	0	0		0.02	0.60	0.53	0.00	0.00	0.00	0.00	0.00			shortsest path	93.00	35.00	54.00	4.00	0.00	0.00	0.00	0.00			Round 15	d	1.00	1.00	2.20	1.39	1.39	1.00	1.00	1.00	4.14	1.00
			9854		1.75	3	1.3103	9354		98	85	54	4	0	0	0	0		0.83	0.38	0.53	0.00	0.00	0.00	0.00	0.00			path 1 lengths	4.14	2.20	1.39	0.00	0.00	0.00	0.00	0.00				Energies	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
			93124		2.10	4	2.1048	9354		93	31	12	24	4	0	0	0		0.02	0.65	0.67	0.77	0.00	0.00	0.00	0.00			path 2  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
			4		4.00																								path 3  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
	6	4	654		0.90	2	0.2570	654		65	54	4	0	0	0	0	0		0.37	0.53	0.00	0.00	0.00	0.00	0.00	0.00			shortsest path	65.00	54.00	4.00	0.00	0.00	0.00	0.00	0.00				d	1.00	1.00	1.00	1.39	1.39	1.04	1.00	1.00	1.00	1.00
			653124		3.06	5	2.1850	654		65	53	31	12	24	4	0	0		0.37	0.60	0.65	0.67	0.77	0.00	0.00	0.00			path 1 lengths	1.04	1.39	0.00	0.00	0.00	0.00	0.00	0.00				Energies	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
			65893124		3.69	7	3.6907	654		65	58	89	93	31	12	24	4		0.37	0.38	0.83	0.02	0.65	0.67	0.77	0.00			path 2  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
			6		6.00																								path 3  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
